,Call Volume,Put Volume,Total Volume,Percent of cPut,Put signals,Percent of calls,Call signals,Option rVol,option rvol delta,Close,Volume,Name,bollinger_mid_band,bollinger_std,bollinger_upper_band,bollinger_lower_band,bollinger_long,bollinger_short,bollinger_signal,rvol,rvol SD,rvol signal,daily returns,volume delta,bb std delta,rvol delta,Option rVol SD,Option rVol signal
2016-02-26,61082.0,55707.0,116789.0,0.4769884150048378,False,0.5230115849951622,False,1.2653470281046177,0.00944716269747059,38.06800079345703,30325500,TSLA,37.11800003051758,1.177932842652707,38.29593287317029,35.94006718786487,0.0,0.0,0.0,0.9185432885730707,1.47648095701846,0.0,0.015525815810549348,0.0,0.0,0.0,,0.0
2016-02-29,38760.0,33531.0,72291.0,0.46383367224135785,False,0.5361663277586421,False,0.7653161689198488,-0.3951729036213668,38.38600158691406,22495000,TSLA,37.980000813802086,0.4564084617538404,38.436409275555924,37.52359235204825,0.0,0.0,0.0,0.6729700581425787,1.4759446850605344,0.0,0.008353493402040835,-0.25821503355262077,-0.6125343948081049,-0.267350742730898,,0.0
2016-03-01,46761.0,66906.0,113667.0,0.5886141096360421,False,0.4113858903639579,False,1.1263563305334157,0.4717529516240737,37.27000045776367,33561000,TSLA,37.90800094604492,0.5749474701615123,38.48294841620643,37.33305347588341,1.0,0.0,1.0,0.9935139327592281,1.4640622076555379,0.0,-0.029073127781322206,0.49193154034229836,0.25972132057359776,0.47631223817202484,0.9455097188719966,0.0
2016-03-02,36792.0,43244.0,80036.0,0.5403068619121395,False,0.45969313808786044,False,0.9026820153838055,-0.1985821973794769,37.667999267578125,24312000,TSLA,37.77466710408529,0.5655953947611654,38.34026249884646,37.20907170932412,0.0,0.0,0.0,0.7246001019304191,1.4354301470401465,0.0,0.01067879809299943,-0.27558773576472695,-0.016265964954537027,-0.2706694108274559,0.8830824433301769,0.0
2016-03-03,51158.0,52002.0,103160.0,0.5040907328421869,False,0.4959092671578131,False,1.0425010863597013,0.1548929396986456,39.14799880981445,24145000,TSLA,38.028666178385414,0.9895857304901807,39.0182519088756,37.03908044789523,0.0,-1.0,-1.0,0.7366513407390005,1.375740435961978,0.0,0.03929063319033799,-0.006869035867061557,0.7496354101469553,0.016631572058126265,0.8942041957832346,0.0
2016-03-04,77654.0,76083.0,153737.0,0.4948906248983654,False,0.5051093751016346,False,1.3688507804222205,0.3130449438686882,40.20800018310547,32445500,TSLA,39.007999420166016,1.275774680163529,40.283774100329545,37.732224740002486,0.0,0.0,0.0,0.9742625393643894,1.3751799589593263,0.0,0.027076770346311285,0.34377717954027753,0.2892007643760057,0.3225558489950211,0.8822343855897469,0.0
2016-03-07,53174.0,46225.0,99399.0,0.46504491996901376,False,0.5349550800309862,False,0.8369361429822395,-0.38858482242740333,41.05799865722656,26647000,TSLA,40.13799921671549,0.956922126272659,41.09492134298815,39.181077090442834,0.0,0.0,0.0,0.8256088388820338,1.2969972369686773,0.0,0.021140033581631412,-0.178715076050608,-0.24992857974732607,-0.15258074130545707,0.9055320266422312,0.0
2016-03-08,34981.0,53040.0,88021.0,0.602583474398155,True,0.39741652560184504,False,0.7740219312515938,-0.07517205734055721,40.52000045776367,20893500,TSLA,40.595333099365234,0.42997744902496887,41.0253105483902,40.16535565034027,0.0,0.0,0.0,0.6741578471863707,1.2220824201578735,0.0,-0.01310337125670391,-0.21591548767215818,-0.5506662065597865,-0.18344158221554963,0.8997036679181843,0.0
2016-03-09,38633.0,40877.0,79510.0,0.5141114325242108,False,0.48588856747578923,False,0.8936050649983142,0.15449579516869028,41.74399948120117,16043000,TSLA,41.10733286539713,0.6134890385457782,41.72082190394291,40.493843826851354,0.0,-1.0,-1.0,0.5414216410040076,1.1584669713151712,0.0,0.03020728059253952,-0.23215354057481996,0.42679352123453507,-0.19689188034574379,0.7514942415462164,0.0
2016-03-10,72428.0,55129.0,127557.0,0.43219109888128443,False,0.5678089011187155,False,1.2968029875833649,0.4512037122191237,41.0359992980957,25962500,TSLA,41.09999974568685,0.6145042272538576,41.71450397294071,40.48549551843299,0.0,0.0,0.0,0.9165041346382964,1.0831714185558214,0.0,-0.016960525869695542,0.6183070498036527,0.0016547788864913482,0.6927733677928705,0.8057904356370401,0.0
