DataDate,profit
2017-05-22,-0.0
2017-05-22,-0.0
2017-05-22,-0.0
2017-05-22,-0.0
2017-05-22,-0.0
2017-05-22,-0.0
2017-05-22,-0.0
2017-05-22,-0.0
2017-05-22,-0.0
2017-05-22,-0.0
2017-05-22,-0.0
2017-05-22,-0.0
2017-05-22,-0.0
2017-05-22,-0.0
2017-05-22,-0.0
2017-05-22,-0.0
2017-05-22,0.0
2017-05-22,-0.0
2017-05-22,-0.0
2017-05-22,-0.0
2017-05-22,-0.0
2017-05-22,-0.0
2017-05-22,-0.0
2017-05-22,-0.0
2017-05-22,-0.0
2017-05-22,-0.0
2017-05-22,-0.0
2017-05-22,-0.0
2017-06-05,-0.0
2017-06-05,-0.0
2017-06-05,-0.0
2017-06-05,-0.0
2017-06-05,-0.0
2017-06-05,-0.0
2017-06-05,-0.0
2017-06-05,-0.0
2017-06-05,-0.0
2017-06-05,-0.0
2017-06-05,-0.0
2017-06-05,-0.0
2017-06-05,-0.0
2017-06-05,-0.0
2017-06-05,-0.0
2017-06-05,-0.0
2017-06-05,-0.0
2017-06-05,-0.0
2017-06-05,-0.0
2017-06-05,-0.0
2017-06-05,-0.0
2017-06-05,-0.0
2017-06-05,-0.0
2017-06-05,-0.0
2017-06-05,0.0
2017-06-05,-0.0
2017-06-05,-0.0
2017-06-05,-0.0
2017-06-05,-0.0
2017-06-05,-0.0
2017-06-05,-0.0
2017-06-05,-0.0
2017-09-07,-0.0
2017-09-07,0.0
2017-09-07,-0.0
2017-09-07,0.0
2017-09-07,-0.0
2017-09-07,-0.0
2017-09-07,-0.0
2017-09-07,-0.0
2017-09-07,0.0
2017-09-07,-0.0
2017-09-07,-0.0
2017-09-07,-0.0
2017-09-07,-0.0
2017-09-07,-0.0
2017-09-07,-0.0
2017-09-07,-0.0
2017-09-07,-0.0
2017-09-07,-0.0
2017-09-07,-0.0
2017-09-07,-0.0
2017-09-07,-0.0
2017-09-07,-0.0
2017-09-07,-0.0
2017-09-07,-0.0
2017-09-08,-0.0
2017-09-08,-0.0
2017-09-08,-0.0
2017-09-08,-0.0
2017-09-08,-0.0
2017-09-08,-0.0
2017-09-08,-0.0
2017-09-08,-0.0
2017-09-08,0.0
2017-09-08,-0.0
2017-09-08,-0.0
2017-09-08,-0.0
2017-09-08,-0.0
2017-09-08,-0.0
2017-09-08,-0.0
2017-09-08,-0.0
2017-09-08,-0.0
2017-09-08,-0.0
2017-09-08,-0.0
2017-09-08,-0.0
2017-09-08,-0.0
2017-09-08,-0.0
2017-09-08,-0.0
2017-09-08,-0.0
2017-09-08,-0.0
2017-09-08,-0.0
2017-11-09,-0.0
2017-11-09,-0.0
2017-11-09,-0.0
2017-11-09,-0.0
2017-11-09,-0.0
2017-11-09,-0.0
2017-11-09,-0.0
2017-11-09,-0.0
2017-11-09,-0.0
2017-11-09,-0.0
2017-11-09,-0.0
2017-11-09,-0.0
2017-11-09,-0.0
2017-11-09,-0.0
2017-11-09,-0.0
2017-11-09,-0.0
2017-11-09,-0.0
2017-11-09,-0.0
2017-11-09,-0.0
2017-11-09,-0.0
2017-11-10,-0.0
2017-11-10,-0.0
2017-11-10,-0.0
2017-11-10,-0.0
2017-11-10,-0.0
2017-11-10,-0.0
2017-11-10,-0.0
2017-11-10,-0.0
2017-11-10,-0.0
2017-11-10,-0.0
2017-11-10,-0.0
2017-11-10,-0.0
2017-11-10,-0.0
2017-11-10,-0.0
2017-11-10,-0.0
2017-11-10,-0.0
2017-11-10,-0.0
2017-11-10,-0.0
2017-11-10,-0.0
2017-11-10,-0.0
2017-11-14,0.0
2017-11-14,-0.0
2017-11-14,0.0
2017-11-14,0.0
2017-11-14,-0.0
2017-11-14,-0.0
2017-11-14,-0.0
2017-11-14,-0.0
2017-11-14,-0.0
2017-11-14,-0.0
2017-11-14,-0.0
2017-11-14,-0.0
2017-11-14,-0.0
2017-11-14,-0.0
2017-11-14,-0.0
2017-11-14,-0.0
2017-11-14,-0.0
2017-11-14,-0.0
2017-11-14,-0.0
2017-11-14,-0.0
2018-03-22,0.0
2018-03-22,-0.0
2018-03-22,-0.0
2018-03-22,-0.0
2018-03-22,-0.0
2018-03-22,-0.0
2018-03-22,-0.0
2018-03-22,-0.0
2018-03-22,-0.0
2018-03-22,-0.0
2018-03-22,-0.0
2018-03-22,-0.0
2018-03-22,-0.0
2018-03-22,-0.0
2018-03-22,-0.0
2018-03-22,-0.0
2018-03-22,-0.0
2018-03-22,-0.0
2018-03-22,-0.0
2018-03-22,-0.0
2018-03-22,-0.0
2018-03-22,-0.0
2018-03-22,-0.0
2018-03-22,-0.0
2018-03-26,-0.0
2018-03-26,-0.0
2018-03-26,-0.0
2018-03-26,-0.0
2018-03-26,-0.0
2018-03-26,-0.0
2018-03-26,0.0
2018-03-26,0.0
2018-03-26,-0.0
2018-03-26,-0.0
2018-03-26,-0.0
2018-03-26,-0.0
2018-03-26,-0.0
2018-03-26,-0.0
2018-03-26,-0.0
2018-03-26,-0.0
2018-03-26,-0.0
2018-03-26,-0.0
2018-03-26,-0.0
2018-03-26,-0.0
2018-03-27,-0.0
2018-03-27,-0.0
2018-03-27,-0.0
2018-03-27,-0.0
2018-03-27,-0.0
2018-03-27,-0.0
2018-03-27,-0.0
2018-03-27,-0.0
2018-03-27,-0.0
2018-03-27,-0.0
2018-03-27,-0.0
2018-03-27,-0.0
2018-03-27,-0.0
2018-03-27,-0.0
2018-03-27,-0.0
2018-03-27,-0.0
2018-03-27,-0.0
2018-03-27,-0.0
2018-03-27,-0.0
2018-03-27,-0.0
2018-03-29,-0.0
2018-03-29,-0.0
2018-03-29,-0.0
2018-03-29,-0.0
2018-03-29,-0.0
2018-03-29,-0.0
2018-03-29,-0.0
2018-03-29,-0.0
2018-03-29,0.0
2018-03-29,-0.0
2018-03-29,-0.0
2018-03-29,-0.0
2018-03-29,-0.0
2018-03-29,-0.0
2018-03-29,-0.0
2018-03-29,-0.0
2018-03-29,-0.0
2018-03-29,-0.0
2018-03-29,-0.0
2018-03-29,-0.0
2018-03-29,-0.0
2018-03-29,-0.0
2018-03-29,-0.0
2018-03-29,-0.0
2018-05-03,0.0
2018-05-03,0.0
2018-05-03,-0.0
2018-05-03,-0.0
2018-05-03,0.0
2018-05-03,-0.0
2018-05-03,-0.0
2018-05-03,0.0
2018-05-03,-0.0
2018-05-03,-0.0
2018-05-03,0.0
2018-05-03,-0.0
2018-05-03,-0.0
2018-05-03,-0.0
2018-05-03,-0.0
2018-05-03,-0.0
2018-05-03,-0.0
2018-05-03,0.0
2018-05-03,0.0
2018-05-03,0.0
2018-05-03,-0.0
2018-05-03,-0.0
2018-05-03,-0.0
2018-05-03,-0.0
2018-05-04,-0.0
2018-05-04,-0.0
2018-05-04,-0.0
2018-05-04,-0.0
2018-05-04,-0.0
2018-05-04,-0.0
2018-05-04,-0.0
2018-05-04,-0.0
2018-05-04,-0.0
2018-05-04,-0.0
2018-05-04,-0.0
2018-05-04,-0.0
2018-05-04,-0.0
2018-05-04,0.0
2018-05-04,-0.0
2018-05-04,-0.0
2018-05-04,-0.0
2018-05-04,-0.0
2018-05-04,-0.0
2018-05-04,-0.0
2018-05-30,-0.0
2018-05-30,-0.0
2018-05-30,-0.0
2018-05-30,-0.0
2018-05-30,-0.0
2018-05-30,-0.0
2018-05-30,-0.0
2018-05-30,-0.0
2018-05-30,-0.0
2018-05-30,-0.0
2018-05-30,-0.0
2018-05-30,-0.0
2018-05-30,-0.0
2018-05-30,-0.0
2018-05-30,-0.0
2018-05-30,-0.0
2018-05-30,-0.0
2018-05-30,-0.0
2018-05-31,-0.0
2018-05-31,-0.0
2018-05-31,-0.0
2018-05-31,-0.0
2018-05-31,-0.0
2018-05-31,-0.0
2018-05-31,-0.0
2018-05-31,-0.0
2018-05-31,-0.0
2018-05-31,-0.0
2018-05-31,-0.0
2018-05-31,-2.0
