DataDate,Actual,Predicted,Positive Actual signal,Negative Actual signal,Positive Predicted signal,Negative Predicted signal,Actual Signal,LSTM Predicted Signal
2019-02-26,0.3614736874356915,0.15349351,1,0,1,0,1,1
2019-02-27,0.3046713642192685,0.15720588,1,0,1,0,1,1
2019-02-28,-0.32205819355728427,0.042658355,0,-1,1,0,-1,1
2019-03-01,-0.02954214171065893,0.08697623,0,-1,1,0,-1,1
2019-03-04,0.2766957827538647,0.07729916,1,0,1,0,1,1
2019-03-05,0.16875729944877604,0.075052865,1,0,1,0,1,1
2019-03-06,0.517252007079414,0.055966053,1,0,1,0,1,1
2019-03-07,-0.49214616014986035,-0.07073621,0,-1,0,-1,-1,-1
2019-03-08,-0.022237938827717813,-0.0050380663,0,-1,0,-1,-1,-1
2019-03-11,-0.0962156223093972,0.060682274,0,-1,1,0,-1,1
2019-03-12,0.17647493389374228,0.14603554,1,0,1,0,1,1
2019-03-13,0.506837503015263,0.15773769,1,0,1,0,1,1
2019-03-14,-0.18356409993047418,0.06510533,0,-1,1,0,-1,1
2019-03-15,-0.2908182546756676,0.0480209,0,-1,1,0,-1,1
2019-03-18,0.32525678102807265,0.10199462,1,0,1,0,1,1
2019-03-19,-0.08228078791099497,0.11063817,0,-1,1,0,-1,1
2019-03-20,0.16670845726651248,0.13106239,1,0,1,0,1,1
2019-03-21,-0.08937817235797882,0.13503355,0,-1,1,0,-1,1
2019-03-22,-0.24232554539590725,0.140624,0,-1,1,0,-1,1
2019-03-25,0.5734421210095865,0.15166484,1,0,1,0,1,1
2019-03-26,0.5117387309669241,0.07471508,1,0,1,0,1,1
2019-03-27,-0.38173405163986257,-0.14546488,0,-1,0,-1,-1,-1
2019-03-28,-0.4682462357760795,-0.040353462,0,-1,0,-1,-1,-1
2019-03-29,-0.2704744605535837,0.124063425,0,-1,1,0,-1,1
2019-04-01,1.511735854660247,0.24381183,1,0,1,0,1,1
2019-04-02,0.3674096983297022,0.0938186,1,0,1,0,1,1
2019-04-03,-0.33816967201110204,-0.038730785,0,-1,0,-1,-1,-1
2019-04-04,0.04094825193986825,0.005531978,1,0,1,0,1,1
2019-04-05,-0.06318413423316191,-0.013078852,0,-1,0,-1,-1,-1
2019-04-08,-0.2754565800650312,0.06015731,0,-1,1,0,-1,1
2019-04-09,0.7569750045217636,0.12635392,1,0,1,0,1,1
2019-04-10,0.22616061434944146,0.07631879,1,0,1,0,1,1
2019-04-11,-0.0991080797268385,-0.036557917,0,-1,0,-1,-1,-1
2019-04-12,-0.10454752850519053,-0.0227495,0,-1,0,-1,-1,-1
2019-04-15,0.36108442996283147,0.040185194,1,0,1,0,1,1
2019-04-16,-0.16343188104151532,-0.030768933,0,-1,0,-1,-1,-1
2019-04-17,-0.5408364063203612,-0.0056194104,0,-1,0,-1,-1,-1
2019-04-18,-0.2808888484215152,0.14148302,0,-1,1,0,-1,1
2019-04-22,1.3223929577589018,0.25821978,1,0,1,0,1,1
2019-04-23,0.40423249045896276,0.09107108,1,0,1,0,1,1
2019-04-24,-0.10860778632732013,-0.003206646,0,-1,0,-1,-1,-1
2019-04-25,-0.5671693287470696,0.027355317,0,-1,1,0,-1,1
2019-04-26,0.1973642102669727,0.11614251,1,0,1,0,1,1
2019-04-29,-0.005346580603270769,0.119847074,0,-1,1,0,-1,1
2019-04-30,0.4369734812067624,0.12163065,1,0,1,0,1,1
2019-05-01,0.2406994213933858,0.06597279,1,0,1,0,1,1
2019-05-02,-0.01188877768888765,0.025706707,0,-1,1,0,-1,1
2019-05-03,-0.37159461446569664,-0.039791428,0,-1,0,-1,-1,-1
2019-05-06,0.18517185449722373,0.045257386,1,0,1,0,1,1
2019-05-07,0.1381751172717208,0.094392255,1,0,1,0,1,1
2019-05-08,0.8988047772897345,0.09094887,1,0,1,0,1,1
2019-05-09,-0.35814294399984303,-0.11541816,0,-1,0,-1,-1,-1
2019-05-10,-0.3919818917944138,-0.08836632,0,-1,0,-1,-1,-1
2019-05-13,0.4370082443494549,0.05280358,1,0,1,0,1,1
2019-05-14,0.1371024096653912,0.040952098,1,0,1,0,1,1
2019-05-15,-0.24469030521373103,0.058488898,0,-1,1,0,-1,1
2019-05-16,-0.3176627159354762,0.12431544,0,-1,1,0,-1,1
2019-05-17,0.19266864326132088,0.19465701,1,0,1,0,1,1
2019-05-20,0.24820452921492484,0.16136515,1,0,1,0,1,1
2019-05-21,0.30028404955073557,0.11761099,1,0,1,0,1,1
2019-05-22,-0.2019616862768901,0.037172977,0,-1,1,0,-1,1
2019-05-23,0.1966472444937296,0.011239354,1,0,1,0,1,1
2019-05-24,-0.19165201047161784,0.061607182,0,-1,1,0,-1,1
2019-05-28,1.0900541520885172,0.13181801,1,0,1,0,1,1
2019-05-29,-0.7001680457708068,0.04082898,0,-1,1,0,-1,1
2019-05-30,-0.29465979621208976,0.094808266,0,-1,1,0,-1,1
2019-05-31,1.208085602084358,0.20307265,1,0,1,0,1,1
2019-06-03,0.305337566701843,0.08410418,1,0,1,0,1,1
2019-06-04,-0.39428359435539667,-0.056791846,0,-1,0,-1,-1,-1
2019-06-05,0.19977565463381222,0.020682722,1,0,1,0,1,1
2019-06-06,0.5822067909867703,0.05254684,1,0,1,0,1,1
2019-06-07,-0.31236375778801,0.010800297,0,-1,1,0,-1,1
2019-06-10,-0.4245157841523821,0.030240754,0,-1,1,0,-1,1
2019-06-11,1.2535207909185244,0.1365973,1,0,1,0,1,1
2019-06-12,-0.3202176184234204,-0.010797312,0,-1,0,-1,-1,-1
2019-06-13,-0.2687022698779422,0.0086786635,0,-1,1,0,-1,1
2019-06-14,1.3376073144478031,0.07845227,1,0,1,0,1,1
2019-06-17,-0.3387386374473249,-0.048101075,0,-1,0,-1,-1,-1
2019-06-18,0.1153733561369745,-0.0024919643,1,0,0,-1,1,-1
2019-06-19,0.05520155651940067,0.030074997,1,0,1,0,1,1
2019-06-20,-0.35993354482893275,0.06778709,0,-1,1,0,-1,1
2019-06-24,1.0010607440357868,0.10614846,1,0,1,0,1,1
2019-06-25,-0.23336505779589237,0.021763237,0,-1,1,0,-1,1
2019-06-26,-0.3610482302052824,0.03778575,0,-1,1,0,-1,1
2019-06-27,-0.07729184649942586,0.11529724,0,-1,1,0,-1,1
2019-06-28,1.059416821078194,0.15199459,1,0,1,0,1,1
2019-07-01,-0.05839722085829984,0.029193643,0,-1,1,0,-1,1
2019-07-02,-0.028787952833503445,0.010957808,0,-1,1,0,-1,1
2019-07-03,-0.11231766689849311,0.038490213,0,-1,1,0,-1,1
2019-07-05,-0.2772975888368679,0.10270042,0,-1,1,0,-1,1
2019-07-08,0.27538562634134867,0.16553582,1,0,1,0,1,1
2019-07-09,-0.4668667205972117,0.14324115,0,-1,1,0,-1,1
2019-07-10,1.1128246013824845,0.18113528,1,0,1,0,1,1
2019-07-11,-0.20226832521041285,0.054715414,0,-1,1,0,-1,1
