,Call Volume,Put Volume,Total Volume,Percent of Put,Put signals,Percent of calls,Call signals,Option rVol,option rvol delta,Close,Volume,Name,bollinger_mid_band,bollinger_std,bollinger_upper_band,bollinger_lower_band,bollinger_long,bollinger_short,bollinger_signal,rvol,rvol SD,rvol signal,daily returns,volume delta,bb std delta,rvol delta,Option rVol SD,Option rVol signal
2017-03-22,0.0,0.0,0.0,,False,,False,,,82.37000274658203,158700,MTUM,81.93900032043457,0.6022058123888545,82.54120613282343,81.33679450804571,0.0,0.0,0.0,0.8393716612894695,1.0421896725886775,0.0,0.005247745818451222,-0.09778283115406483,-0.02146542316891431,-0.09873720484512738,,0.0
2017-03-23,0.0,0.0,0.0,,False,,False,,,82.20999908447266,520400,MTUM,82.00000038146973,0.5614267298800251,82.56142711134976,81.4385736515897,0.0,0.0,0.0,2.517841159252002,1.2125555238621575,1.0,-0.00194249917171474,2.2791430371770636,-0.06771618883428798,1.999673774289704,,1.0
2017-03-24,0.0,11.0,11.0,1.0,True,0.0,False,3.0,,82.1500015258789,136200,MTUM,82.0495002746582,0.5259928233313946,82.5754930979896,81.52350745132681,0.0,0.0,0.0,0.6546188599442468,1.2183609445422054,0.0,-0.0007298085301290502,-0.7382782475019216,-0.06311403547922012,-0.7400078803467013,1.850558776834398,0.0
2017-03-27,0.0,0.0,0.0,,False,,False,0.0,-1.0,82.05000305175781,157800,MTUM,82.08550033569335,0.49805425133967096,82.58355458703302,81.58744608435369,0.0,0.0,0.0,0.7493589134770634,1.2271877791498125,0.0,-0.0012172668565270106,0.15859030837004395,-0.05311588058326289,0.14472551790042454,1.8319991945828278,0.0
2017-03-28,0.0,11.0,11.0,1.0,True,0.0,False,1.5,inf,82.37999725341797,103500,MTUM,82.1435001373291,0.45788201680631946,82.60138215413542,81.68561812052278,0.0,0.0,0.0,0.5278457772337821,1.1696973699279887,0.0,0.0040218670248188815,-0.344106463878327,-0.08065835082281869,-0.2956035249056411,0.6995121448578107,0.0
2017-03-29,0.0,11.0,11.0,1.0,True,0.0,False,1.5,0.0,82.62000274658203,193400,MTUM,82.17100028991699,0.4696017427289478,82.64060203264594,81.70139854718803,0.0,0.0,0.0,1.002488077959776,1.1678020390186041,0.0,0.0029133952557167664,0.8685990338164251,0.02559551476682187,0.8992063992884336,0.8786458802601014,0.0
2017-03-30,0.0,0.0,0.0,,False,,False,0.0,-1.0,82.6500015258789,294700,MTUM,82.2245002746582,0.4595712061566153,82.68407148081481,81.76492906850159,0.0,0.0,0.0,1.5836848751914447,1.1489258571756298,1.0,0.00036309341926421546,0.5237849017580145,-0.02135966641444531,0.5797543232778364,1.3024136966728421,1.0
2017-03-31,0.0,0.0,0.0,,False,,False,0.0,,82.6500015258789,159300,MTUM,82.27150039672851,0.4521916098078935,82.72369200653641,81.81930878692062,0.0,0.0,0.0,0.838002051605776,1.1637110339135752,0.0,0.0,-0.4594502884289108,-0.016057568990096582,-0.470853030970272,1.3372751628957014,0.0
2017-04-03,0.0,100.0,100.0,1.0,True,0.0,False,3.0,inf,82.6500015258789,529300,MTUM,82.32600059509278,0.4269037344519914,82.75290432954478,81.89909686064078,0.0,0.0,0.0,2.5791833154663286,1.3109791685372199,1.0,0.0,2.322661644695543,-0.05592292030063373,2.0777768509326537,2.1037429370876035,1.0
2017-04-04,0.0,0.0,0.0,,False,,False,0.0,-1.0,82.5999984741211,205700,MTUM,82.37800064086915,0.39047361672876935,82.76847425759792,81.98752702414038,0.0,0.0,0.0,0.9899655894313834,1.3243870384349243,0.0,-0.0006049975902560067,-0.6113735121859059,-0.08533567355644422,-0.6161709082503146,1.9512509207278361,0.0
2017-04-05,0.0,0.0,0.0,,False,,False,0.0,,82.48999786376953,196800,MTUM,82.42600059509277,0.33594169062203316,82.76194228571481,82.09005890447074,0.0,0.0,0.0,0.9461083601749916,1.3287500890243993,0.0,-0.001331726542174505,-0.043266893534273265,-0.139655853226609,-0.04430177141973446,1.9703128611644118,0.0
2017-04-06,0.0,0.0,0.0,,False,,False,,,82.63999938964844,110600,MTUM,82.47450065612793,0.2875934875721337,82.76209414370007,82.18690716855579,0.0,0.0,0.0,0.5387631828920769,1.3198851346076885,0.0,0.0018184207754088355,-0.4380081300813008,-0.1439184370370269,-0.430548121578349,0.9493504872819417,0.0
2017-04-07,0.0,0.0,0.0,,False,,False,,,82.61000061035156,102400,MTUM,82.49700050354004,0.2791733364078561,82.77617383994789,82.21782716713219,0.0,0.0,0.0,0.5145470076880558,1.2951658427149617,0.0,-0.00036300556048440846,-0.07414104882459316,-0.02927796187375664,-0.04494771724012181,0.7877098285142407,0.0
2017-04-10,0.0,1.0,1.0,1.0,True,0.0,False,3.0,inf,82.58999633789062,183700,MTUM,82.50400047302246,0.27968743672758034,82.78368790975004,82.22431303629487,0.0,0.0,0.0,0.9135667396061269,1.3038389359439708,0.0,-0.0002421531571618063,0.7939453125,0.0018415093874624144,0.7754777036036653,0.7674813681272861,0.0
2017-04-11,1.0,0.0,1.0,0.0,False,1.0,True,1.5,-0.5,82.5,127000,MTUM,82.52150039672851,0.2670355767361163,82.78853597346463,82.25446481999239,0.0,0.0,0.0,0.6336851034104234,1.3016516934980586,0.0,-0.0010896760126061222,-0.3086554164398476,-0.04523571076160693,-0.30636145566811135,0.7896838037555677,0.0
2017-04-12,0.0,0.0,0.0,,False,,False,0.0,-1.0,82.19000244140625,286400,MTUM,82.48700065612793,0.262820555323383,82.74982121145132,82.22418010080455,1.0,0.0,1.0,1.399872916564837,1.322895023838718,1.0,-0.0037575461647727515,1.2551181102362206,-0.015784493827571744,1.2090986659318252,1.1762252909647115,1.0
2017-04-13,0.0,11.0,11.0,1.0,True,0.0,False,2.75,inf,81.80000305175781,186900,MTUM,82.44350090026856,0.300267537305052,82.7437684375736,82.14323336296351,1.0,0.0,1.0,0.9001589365698599,1.3312466270876386,0.0,-0.004745095243505637,-0.3474162011173184,0.14248117669332605,-0.35697096077923307,1.1723885274547672,0.0
2017-04-17,0.0,0.0,0.0,,False,,False,0.0,-1.0,82.66000366210938,142100,MTUM,82.43300094604493,0.2879890280647092,82.72098997410964,82.14501191798021,0.0,0.0,0.0,0.6819272482963816,1.3307501172453116,0.0,0.010513454502042219,-0.23970037453183524,-0.040891897107973585,-0.2424368402152075,1.178013665181528,0.0
2017-04-18,0.0,1.0,1.0,1.0,True,0.0,False,0.25,inf,82.61000061035156,1459700,MTUM,82.41800079345703,0.2690248593390966,82.68702565279612,82.14897593411793,0.0,0.0,0.0,5.3759322346008656,1.821402725610973,1.0,-0.000604924383529104,9.27234342012667,-0.0658503167743999,6.88343954290027,3.6440069549630136,1.0
2017-04-19,0.0,0.0,0.0,,False,,False,0.0,-1.0,82.73999786376953,381600,MTUM,82.4580005645752,0.25322272065293655,82.71122328522814,82.20477784392226,0.0,-1.0,-1.0,1.3541038288208367,1.8413226748112832,0.0,0.0015736261040733002,-0.7385764198122902,-0.058738581724308236,-0.7481173925323165,3.7398505064828678,0.0
2017-04-20,0.0,1.0,1.0,1.0,True,0.0,False,1.5,inf,83.22000122070312,177300,MTUM,82.50050048828125,0.3039295012187279,82.80442998949998,82.19657098706251,0.0,-1.0,-1.0,0.6270778807384877,1.833367574899193,0.0,0.005801346015549935,-0.5353773584905661,0.20024577745252703,-0.5369056143319884,3.731291564529152,0.0
2017-04-21,0.0,0.0,0.0,,False,,False,0.0,-1.0,83.19999694824219,156500,MTUM,82.55000038146973,0.33332370357073676,82.88332408504047,82.21667667789899,0.0,-1.0,-1.0,0.5915817724772723,1.7218089363310751,0.0,-0.0002403781803352878,-0.11731528482797515,0.09671388343066711,-0.056605581781026704,1.0727686223855337,0.0
2017-04-24,10.0,1.0,11.0,0.09090909090909091,False,0.9090909090909091,True,2.75,inf,84.05000305175781,143200,MTUM,82.64500045776367,0.4600055933504785,83.10500605111415,82.1849948644132,0.0,-1.0,-1.0,0.5405915551444912,1.7176546660131908,0.0,0.010216419888144923,-0.08498402555910545,0.3800566489051318,-0.08619301625751163,0.6081540008529894,0.0
2017-04-25,6.0,0.0,6.0,0.0,False,1.0,True,1.0588235294117647,-0.6149732620320856,84.52999877929688,241400,MTUM,82.76900024414063,0.6031572890330343,83.37215753317366,82.16584295510759,0.0,-1.0,-1.0,0.8971476354176345,1.7238305898524449,0.0,0.005710835337429776,0.6857541899441342,0.3111955544712006,0.6595665005862732,0.7728558145030853,0.0
2017-04-26,0.0,2.0,2.0,1.0,True,0.0,False,0.31578947368421056,-0.7017543859649122,84.25,241600,MTUM,82.86250038146973,0.6797587430928927,83.54225912456262,82.18274163837684,0.0,-1.0,-1.0,0.8754257554895283,1.7372278768901257,0.0,-0.0033124190623489147,0.0008285004142503105,0.12700079308112788,-0.024212157587635397,0.8709962189534058,0.0
2017-04-27,0.0,0.0,0.0,,False,,False,0.0,-1.0,84.6500015258789,181700,MTUM,82.96400032043456,0.7850470154728696,83.74904733590743,82.1789533049617,0.0,-1.0,-1.0,0.6597795893171626,1.7229605902270164,0.0,0.004747792592034505,-0.2479304635761589,0.1548906482628185,-0.24633290124275442,0.8763964122522914,0.0
2017-04-28,0.0,0.0,0.0,,False,,False,0.0,,84.77999877929688,128100,MTUM,83.07050018310547,0.87905715813754,83.94955734124301,82.19144302496792,0.0,-1.0,-1.0,0.47965851010053734,1.6707252282979224,0.0,0.00153570290696603,-0.2949917446340121,0.11975097135812152,-0.27300189659252905,0.7706958748592561,0.0
2017-05-01,0.0,0.0,0.0,,False,,False,,,85.22000122070312,297000,MTUM,83.19900016784668,0.9946006584638755,84.19360082631056,82.2043995093828,0.0,-1.0,-1.0,1.084139441503924,1.6820843953083733,0.0,0.005189932150762244,1.3185011709601873,0.13144025875534382,1.26023184968966,0.896370111325208,0.0
2017-05-02,0.0,10.0,10.0,1.0,True,0.0,False,3.0,inf,85.06999969482422,1341700,MTUM,83.32000007629395,1.0687375506372945,84.38873762693125,82.25126252565666,0.0,-1.0,-1.0,4.265187398671202,1.8503224438746382,1.0,-0.0017601680794445684,3.5175084175084175,0.07453935561225222,2.9341686460133865,2.9598262291782342,1.0
2017-05-03,0.0,0.0,0.0,,False,,False,0.0,-1.0,84.83000183105469,288300,MTUM,83.43150024414062,1.1053662487670748,84.53686649290769,82.32613399537355,0.0,-1.0,-1.0,0.9046124882334484,1.846520234296246,0.0,-0.00282118096427042,-0.7851233509726466,0.03427286531472418,-0.7879079150155803,3.029914477132548,0.0
2017-05-04,0.0,5.0,5.0,1.0,True,0.0,False,1.0,inf,84.97000122070312,1751200,MTUM,83.55550041198731,1.1329489704788844,84.68844938246619,82.42255144150843,0.0,-1.0,-1.0,4.417536955753998,2.112687421055094,1.0,0.0016503523119952845,5.0742282344779746,0.024953468357275632,3.883347304192851,4.188613954630921,1.0
2017-05-05,0.0,3.0,3.0,1.0,True,0.0,False,1.125,0.125,85.41000366210938,167100,MTUM,83.69400062561036,1.1833335611917404,84.8773341868021,82.51066706441861,0.0,-1.0,-1.0,0.41853999423912636,2.108626531438505,0.0,0.005178326881076334,-0.9045797167656464,0.04447207422904409,-0.9052548969185276,3.004603961881841,0.0
2017-05-08,0.0,11.0,11.0,1.0,True,0.0,False,1.736842105263158,0.5438596491228072,85.3499984741211,476400,MTUM,83.83100051879883,1.2095493169017064,85.04054983570053,82.62145120189713,0.0,-1.0,-1.0,1.1398629006208951,2.1335106343722576,0.0,-0.0007025545652200593,1.850987432675045,0.022154155488976368,1.7234264737186669,3.057645443475757,0.0
2017-05-09,0.0,16.0,16.0,1.0,True,0.0,False,1.6,-0.07878787878787874,85.31999969482422,1369300,MTUM,83.96750068664551,1.2161536152766743,85.18365430192219,82.75134707136883,0.0,-1.0,-1.0,2.8692964534548695,2.2465492494728077,1.0,-0.0003514795528199999,1.8742653232577666,0.005460131540469204,1.5172294421477655,2.105630359133678,1.0
2017-05-10,3.0,11.0,14.0,0.7857142857142857,True,0.21428571428571427,False,1.024390243902439,-0.3597560975609756,85.93000030517578,246300,MTUM,84.1390007019043,1.2399313241978092,85.3789320261021,82.89906937770648,0.0,-1.0,-1.0,0.5097373703925991,2.242398804293913,0.0,0.007149561797157089,-0.8201270722266851,0.01955156702447125,-0.8223476107605286,2.1171561495245887,0.0
2017-05-11,0.0,10.0,10.0,1.0,True,0.0,False,0.75,-0.2678571428571429,85.9000015258789,106300,MTUM,84.32450065612792,1.2101650411168985,85.53466569724482,83.11433561501103,0.0,-1.0,-1.0,0.22417410926115336,2.197197506877605,0.0,-0.0003491071708406901,-0.5684125050751117,-0.02400639656407455,-0.560216452075125,1.9269520396938313,0.0
2017-05-12,2.0,36.0,38.0,0.9473684210526315,True,0.05263157894736842,False,1.8387096774193548,1.4516129032258065,86.05000305175781,896700,MTUM,84.53700065612793,1.11276408978871,85.64976474591664,83.42423656633922,0.0,-1.0,-1.0,1.7593564526413892,2.2381736694785177,0.0,0.0017462342632639238,7.435559736594543,-0.08048567593581624,6.8481697036289475,1.239331429195537,0.0
2017-05-15,0.0,11.0,11.0,1.0,True,0.0,False,0.559322033898305,-0.6958073148974131,86.70999908447266,295200,MTUM,84.7395004272461,1.1216837855117445,85.86118421275785,83.61781664173435,0.0,-1.0,-1.0,0.5706222333906791,2.2342659252201242,0.0,0.007669912949542335,-0.6707929073268653,0.008015801197114536,-0.6756642279431311,1.2539748436303273,0.0
2017-05-16,10.0,25.0,35.0,0.7142857142857143,True,0.2857142857142857,False,1.25,1.2348484848484849,86.8499984741211,150800,MTUM,84.95150032043458,1.0984646993918576,86.04996501982643,83.85303562104272,0.0,-1.0,-1.0,0.3337132234971287,1.8362058000749926,0.0,0.00161457030477008,-0.48915989159891604,-0.020700206617762285,-0.415176619540076,1.2698698992588482,0.0
2017-05-17,2.0,10.0,12.0,0.8333333333333334,True,0.16666666666666666,False,0.6206896551724138,-0.503448275862069,85.22000122070312,145300,MTUM,85.07550048828125,0.9678978307728433,86.04339831905409,84.10760265750841,0.0,0.0,0.0,0.33017474492694343,1.7928725215526642,0.0,-0.018767959494019548,-0.036472148541114024,-0.1188630537615819,-0.010603351383873694,0.4804095549345056,0.0
2017-05-18,0.0,11.0,11.0,1.0,True,0.0,False,0.5689655172413793,-0.08333333333333337,85.8499984741211,286000,MTUM,85.20700035095214,0.87692114888635,86.0839214998385,84.33007920206579,0.0,0.0,0.0,0.641968103612754,1.7934455615960303,0.0,0.007392598502626191,0.9683413626978665,-0.0939940962713498,0.9443283094071897,0.5247859836158221,0.0
2017-05-19,0.0,11.0,11.0,1.0,True,0.0,False,0.9705882352941176,0.7058823529411764,86.37000274658203,145300,MTUM,85.36550064086914,0.7757131999038257,86.14121384077296,84.58978744096532,0.0,-1.0,-1.0,0.32655721493667755,1.7841888458459993,0.0,0.006057126170103455,-0.49195804195804194,-0.1154128271521947,-0.49131862922949465,0.5234336736816754,0.0
2017-05-22,0.0,15.0,15.0,1.0,True,0.0,False,1.2162162162162162,0.2530712530712531,87.16000366210938,150900,MTUM,85.52100067138672,0.8091252716118971,86.3301259429986,84.71187539977483,0.0,-1.0,-1.0,0.3388498416904318,1.7771579659621497,0.0,0.009146704763287827,0.03854094975911915,0.04307271258528789,0.037643102621811364,0.5251215905224913,0.0
2017-05-23,2.0,15.0,17.0,0.8823529411764706,True,0.11764705882352941,False,1.1860465116279069,-0.024806201550387708,87.27999877929688,155100,MTUM,85.65850067138672,0.8636780282016016,86.52217869958832,84.79482264318511,0.0,-1.0,-1.0,0.3516887180708139,1.7557643159600875,0.0,0.0013767222595890694,0.027833001988071482,0.06742189189200243,0.037889574675119775,0.3453152953754877,0.0
2017-05-24,0.0,0.0,0.0,,False,,False,0.0,-1.0,87.7300033569336,317200,MTUM,85.8325008392334,0.9140592822616298,86.74656012149504,84.91844155697177,0.0,-1.0,-1.0,0.7131375127867894,1.748755031559466,0.0,0.00515587286813135,1.0451321727917473,0.058333374724067966,1.0277520322480074,0.5741349315308588,0.0
2017-05-25,0.0,80.0,80.0,1.0,True,0.0,False,2.474226804123711,inf,88.43000030517578,262200,MTUM,86.02150077819825,1.0389484149394297,87.06044919313767,84.98255236325882,0.0,-1.0,-1.0,0.5841985651263313,1.7457515620366035,0.0,0.007978991467653573,-0.1733921815889029,0.13663132698438374,-0.18080516779518752,0.6412653500713507,0.0
2017-05-26,0.0,0.0,0.0,,False,,False,0.0,-1.0,88.56999969482422,148100,MTUM,86.21100082397462,1.141194585026482,87.3521954090011,85.06980623894813,0.0,-1.0,-1.0,0.3292428082344049,1.7404324181471993,0.0,0.0015831662237395516,-0.43516399694889396,0.09841313448946654,-0.4364196903441434,0.6398750216395166,0.0
2017-05-30,5.0,0.0,5.0,0.0,False,1.0,True,0.17647058823529413,inf,88.7699966430664,134200,MTUM,86.38850059509278,1.2498512027329565,87.63835179782573,85.13864939235982,0.0,-1.0,-1.0,0.3038398840789712,1.707728302468798,0.0,0.002258066489006394,-0.09385550303848755,0.09521305054558504,-0.07715559313705045,0.483286956690867,0.0
2017-05-31,7.0,16.0,23.0,0.6956521739130435,True,0.30434782608695654,False,2.464285714285714,12.964285714285712,88.81999969482422,120000,MTUM,86.57600059509278,1.3209058056076914,87.89690640070047,85.25509478948509,0.0,-1.0,-1.0,0.31529578686004806,1.3921622659457795,0.0,0.0005632877509151868,-0.10581222056631889,0.056850449653018886,0.0377037491829062,0.32248706135532434,0.0
2017-06-01,0.0,0.0,0.0,,False,,False,0.0,-1.0,89.44999694824219,652000,MTUM,86.80700035095215,1.4010367666430514,88.2080371175952,85.4059635843091,0.0,-1.0,-1.0,1.6349867094638648,1.4356608528160009,1.0,0.007092966174088833,4.433333333333334,0.060663645125319965,4.18556472240333,1.1340003172947912,1.0
2017-06-02,0.0,102.0,102.0,1.0,True,0.0,False,2.448,inf,89.91999816894531,366200,MTUM,87.05450019836425,1.4936046565121686,88.54810485487641,85.56089554185209,0.0,-1.0,-1.0,1.111279701392893,1.074999091844202,1.0,0.005254345855093545,-0.4383435582822086,0.06607099261992544,-0.3203127004272118,1.3527758776102203,1.0
2017-06-05,77.0,20.0,97.0,0.20618556701030927,False,0.7938144329896907,True,1.4623115577889447,-0.40265050743915654,89.76000213623047,428400,MTUM,87.27200012207031,1.556911417399396,88.8289115394697,85.71508870467092,0.0,-1.0,-1.0,1.2504560778762095,1.1189862219607813,1.0,-0.0017793153466733047,0.16985253959584923,0.0423852192822296,0.12523973605283256,1.4678725153887238,1.0
2017-06-06,15.0,10.0,25.0,0.4,False,0.6,False,0.33482142857142855,-0.7710327687776142,89.54000091552734,714600,MTUM,87.48150024414062,1.5665486924815393,89.04804893662215,85.91495155165909,0.0,-1.0,-1.0,2.0157684658890567,1.188281768636355,1.0,-0.0024509939334584896,0.6680672268907564,0.0061899957662594485,0.6120266049749332,1.7026816884676135,1.0
2017-06-07,12.0,58.0,70.0,0.8285714285714286,True,0.17142857142857143,False,1.09375,2.266666666666667,90.08000183105469,323500,MTUM,87.71950035095215,1.5823810534503056,89.30188140440245,86.13711929750184,0.0,-1.0,-1.0,1.0704299918931885,1.009930603558889,1.0,0.00603083437576446,-0.5472991883571229,0.010106523368696996,-0.46897175444151307,1.6965310324066767,1.0
2017-06-08,1.0,25.0,26.0,0.9615384615384616,True,0.038461538461538464,False,0.6446280991735537,-0.41062573789846524,90.37999725341797,260700,MTUM,87.94200019836425,1.6296669966636652,89.57166719502791,86.3123332017006,0.0,-1.0,-1.0,0.8605806526152475,1.0264709733873536,0.0,0.0033303221166216534,-0.19412673879443587,0.02988277893637248,-0.1960420960429149,1.6232833884210318,0.0
2017-06-09,12.0,13.0,25.0,0.52,False,0.48,False,0.6198347107438016,-0.03846153846153855,89.45999908447266,338500,MTUM,88.12000007629395,1.588798930493624,89.70879900678757,86.53120114580032,0.0,0.0,0.0,1.0761576245052378,1.0639140534142963,1.0,-0.010179223245224467,0.2984273110855389,-0.02507755649080967,0.2505017644015888,1.0638111149450429,1.0
2017-06-12,5.0,96.0,101.0,0.9504950495049505,True,0.04950495049504951,False,1.993421052631579,2.2160526315789477,89.16999816894531,2192200,MTUM,88.27599983215332,1.526817271416794,89.8028171035701,86.74918256073653,0.0,0.0,0.0,5.779289254455341,1.6098897194187045,1.0,-0.0032416825228615,5.476218611521418,-0.03901164451160155,4.3702999661526,3.961847520148627,1.0
